# group	x	y	plane
standard	3269	3164	0
standard	3269	3166	0
standard	3269	3167	0
standard	3269	3168	0
standard	3269	3169	0
standard	1624	3741	0
standard	1635	3741	0
standard	1624	3744	0
standard	1635	3744	0
standard	1624	3746	0
standard	1635	3746	0
standard	1624	3749	0
standard	1635	3749	0
standard	2655	3280	0
standard	2655	3283	0
standard	2655	3286	0
standard	2615	3332	0
standard	2618	3332	0
standard	2619	3332	0
standard	2280	2544	0
standard	2536	3573	0
standard	1479	3857	0
standard	1499	3857	0
standard	1501	3871	0
standard	1478	3873	0
standard	2443	3083	0
standard	2807	3441	0
standard	2809	3441	0
standard	2810	3441	0
standard	2811	3441	0
standard	3333	5194	0
standard	3304	5199	0
standard	3279	5200	0
standard	1745	5476	0
standard	1746	5476	0
standard	1747	5476	0
standard	1748	5476	0
standard	1935	2754	0
standard	3092	3242	0
standard	3092	3243	0
standard	3092	3245	0
standard	3094	3489	0
standard	3094	3491	0
standard	3096	3494	0
standard	3098	3494	0
standard	3382	3269	0
standard	3010	3355	0
standard	3011	3355	0
standard	3012	3355	0
standard	3013	3355	0
standard	3014	3355	0
standard	3015	3355	0
standard	2945	3368	0
standard	2946	3368	0
standard	2947	3368	0
standard	2948	3368	0
standard	2949	3368	0
standard	1253	3741	0
standard	2586	3418	0
standard	2586	3419	0
standard	2586	3421	0
standard	2586	3422	0
standard	3162	3489	0
standard	3167	3489	0
standard	3162	3490	0
standard	3167	3490	0
standard	1746	3598	0
standard	1748	3598	0
standard	1748	3599	0
standard	1748	3600	0
standard	1674	3615	0
standard	1676	3615	0
standard	1719	3465	0
standard	1809	3566	0
standard	1610	3681	2
standard	1611	3681	2
standard	1612	3681	2
standard	1613	3681	2
standard	1512	3421	0
standard	1522	3738	0
standard	1530	3738	0
standard	1520	3740	0
standard	1522	3740	0
standard	1524	3740	0
standard	1526	3740	0
standard	1528	3740	0
standard	1530	3740	0
standard	1436	3822	0
standard	1438	3822	0
standard	1436	3824	0
standard	1438	3828	0
standard	1436	3832	0
standard	1436	3834	0
standard	1438	3834	0
standard	3208	3220	2
standard	3209	3220	2
standard	3365	3318	1
standard	3013	9718	0
standard	2543	5141	0
standard	2445	5180	0
standard	3760	5666	0
standard	1324	3824	0
standard	1254	3571	0
standard	3427	2889	0
standard	3427	2891	0
standard	3427	2893	0
standard	3427	2894	0
standard	3013	5625	0
standard	2661	3162	0
standard	1796	3790	0
standard	1800	3790	0
standard	1804	3790	0
standard	1808	3790	0
standard	1881	3315	1
standard	1882	3315	1
standard	1883	3315	1
standard	1884	3315	1
standard	3040	4969	1
standard	3156	2835	0
standard	2727	3492	0
standard	3308	3120	0
standard	1487	3590	0
standard	1488	3592	0
standard	1487	3594	0
standard	1483	3646	0
standard	1486	3646	0
standard	2212	2859	0
standard	2020	5931	0
standard	1478	3856	0
standard	1454	3858	0
standard	1477	3874	0
standard	3038	3000	0
standard	2445	3424	1
standard	2446	3424	1
standard	2445	3425	1
standard	2446	3427	1
standard	2448	3482	1
standard	2449	3482	1
standard	2450	3482	1
standard	2442	3487	1
standard	2442	3488	1
standard	2442	3489	1
standard	3251	3420	0
standard	3252	3420	0
standard	3253	3420	0
standard	3254	3420	0
standard	3255	3420	0
standard	3256	3420	0
standard	3185	3436	0
standard	3185	3438	0
standard	3185	3440	0
standard	3185	3442	0
standard	3185	3444	0
standard	2665	2653	0
standard	2666	2653	0
standard	2667	2653	0
standard	2668	2653	0
standard	2843	3543	0
standard	1640	3944	0
standard	1592	3476	0
standard	1551	9873	0
standard	2613	3091	0
standard	2613	3092	0
standard	2613	3094	0
wilderness	3420	4058	0
wilderness	3426	4069	0
wilderness	3130	3631	0
