# encounter\tconcise reviewed method
Abyssal Sire	Use the selected demonbane setup.
Alchemical Hydra	Use the selected ranged or melee setup.
Araxxor	Use the selected melee setup with venom protection.
Amoxliatl	Use the selected crush setup.
Artio	Use the selected Wilderness setup.
Callisto	Use the selected Wilderness setup.
Cerberus	Use the selected demonbane or high-damage melee setup.
Dagannoth Kings	Use the selected style-specific equipment switches.
Grotesque Guardians	Use the selected ranged and melee equipment switches.
Skotizo	Use the selected demonbane setup.
Kalphite Queen	Use the selected melee and ranged or magic equipment switches.
King Black Dragon	Use the selected dragonfire-protected setup.
Kraken	Use a fishing explosive and the selected powered Magic setup.
The Cave Kraken Boss	Use a fishing explosive and the selected powered Magic setup.
Kree'arra	Use the selected ranged setup.
Sarachnis	Use the selected crush setup.
Spindel	Use the selected low-risk Wilderness crush setup.
Venenatis	Use the selected low-risk Wilderness crush setup.
Scorpia	Use the selected low-risk Wilderness Magic setup.
TzTok-Jad	Use the selected sustainable Fight Caves setup.
TzKal-Zuk	Use the selected sustainable Inferno setup.
Calvar'ion	Use the selected low-risk Wilderness crush setup.
Vet'ion	Use the selected low-risk Wilderness crush setup.
Vorkath	Use the selected dragonfire-protected setup.
Scurrius	Use the selected rat-bone weapon setup.
Obor	Use the selected Earth Magic or melee setup.
Bryophyta	Use the selected Fire Magic setup and bring an axe or secateurs.
Royal Titans	Use the selected encounter equipment switches.
Shellbane Gryphon	Use the selected encounter equipment setup.
Barrows Brothers	Use the selected Magic and secondary-style equipment.
Chaos Elemental	Use the selected low-risk Wilderness setup.
Chaos Fanatic	Use the selected low-risk Wilderness setup.
Crazy Archaeologist	Use the selected low-risk Wilderness setup.
Deranged Archaeologist	Use the selected ranged setup.
Duke Sucellus	Use the selected slash setup and required preparation items.
Giant Mole	Use the selected melee setup with a light source and locator.
Maggot King	Use the selected encounter equipment setup.
Phantom Muspah	Use the selected ranged and Magic equipment switches.
Leviathan	Use the selected ranged setup.
Whisperer	Use the selected Magic and ranged equipment switches.
Vardorvis	Use the selected slash setup.
Commander Zilyana	Use the selected ranged setup.
Zulrah	Use the selected ranged and Magic equipment switches.
