# SlayerPlus commonly-used bank locations v1 (sourced from OSRS Wiki "List of banks")
# name<TAB>x<TAB>y<TAB>plane
Falador West	2946	3367	0
Falador East	3015	3357	0
Canifis	3512	3478	0
Edgeville	3095	3494	0
Zanaris	2383	4459	0
Shilo Village	2852	2955	0
Tree Gnome Stronghold South	2446	3424	0
Hosidius	1748	3599	0
Draynor Village	3093	3244	0
Wyrmscraig	2586	2260	0
Grand Exchange	3165	3490	0
Varrock West	3185	3441	0
Varrock East	3254	3421	0
Lumbridge Castle	3209	3219	2
Al Kharid	3269	3167	0
Catherby	2810	3442	0
Seers' Village	2725	3492	0
Ardougne North	2617	3333	0
Ardougne South	2653	3284	0
Yanille	2613	3093	0
Port Phasmatys	3692	3468	0
Prifddinas South	3297	6060	0
Ferox Enclave	3130	3632	0
