# Columns: task_name, elemental_weakness, weakness_percent
Aberrant spectres	AIR	50
Ghosts	AIR	50
Aviansies	AIR	45
Ankou	AIR	40
Shades	AIR	40
Bats	AIR	35
Otherworldly beings	AIR	35
Banshees	AIR	30
Killerwatts	AIR	60
Waterfiends	EARTH	100
Dark beasts	EARTH	60
Molanisks	EARTH	60
Cave slimes	EARTH	50
Giant Mole	EARTH	50
Wyrms	EARTH	50
Basilisks	EARTH	40
Crocodiles	EARTH	40
Gargoyles	EARTH	40
Hydras	EARTH	40
Dagannoth	EARTH	35
Jellies	EARTH	35
Skeletons	EARTH	35
Hill giants	EARTH	25
Rockslugs	EARTH	25
Crabs	EARTH	20
Mogres	EARTH	20
Ogres	EARTH	20
Suqahs	EARTH	20
Frost dragons	FIRE	100
Ice giants	FIRE	100
Ice warriors	FIRE	100
Icefiends	FIRE	100
Cave bugs	FIRE	50
Harpie bug swarms	FIRE	50
Moss giants	FIRE	50
Spiders	FIRE	50
Zombies	FIRE	50
Ents	FIRE	40
Mutated zygomites	FIRE	40
Cave horrors	FIRE	30
Fever spiders	FIRE	25
Jungle horrors	FIRE	25
Scorpions	FIRE	25
Skeletal wyverns	FIRE	25
Wolves	FIRE	25
Fleshcrawlers	FIRE	20
Fire giants	WATER	100
Pyrefiends	WATER	100
Black dragons	WATER	50
Blue dragons	WATER	50
Drakes	WATER	50
Green dragons	WATER	50
Hellhounds	WATER	50
Red dragons	WATER	50
Black demons	WATER	40
Greater demons	WATER	40
Lesser demons	WATER	40
