equipment_infernal_cape_fire_cape	infernal cape|fire cape|mythical cape|mixed hide cape|ardougne cloak 4|ardougne cloak 3|ardougne cloak 2|cape of accomplishment|obsidian cape|legends cape
equipment_amulet_of_rancour_amulet_of_torture	amulet of rancour|amulet of torture|amulet of fury|amulet of strength|amulet of glory|amulet of power|amulet of accuracy
equipment_torva_platebody_oathplate_chest	torva platebody|oathplate chest|bandos chestplate|blood moon chestplate|fighter torso|obsidian platebody|proselyte hauberk|verac s brassard|dragon platebody|dragon chainbody|rune platebody|adamant platebody|mithril platebody|steel platebody
equipment_torva_platelegs_oathplate_legs	torva platelegs|oathplate legs|bandos tassets|blood moon tassets|obsidian platelegs|proselyte cuisse|proselyte tasset|verac s plateskirt|dragon platelegs|dragon plateskirt|rune platelegs|rune plateskirt|adamant platelegs|mithril platelegs|steel platelegs
equipment_expeditious_bracelet_bracelet_of_slaughter	expeditious bracelet|bracelet of slaughter|ferocious gloves|barrows gloves|regen bracelet|dragon gloves|rune gloves|combat bracelet|adamant gloves|mithril gloves
equipment_avernic_treads_max_avernic_treads_pr_pe	avernic treads max|avernic treads pr pe|avernic treads pr et|avernic treads pr|primordial boots|avernic treads pe et|avernic treads pe|avernic treads et|avernic treads|dragon boots|aranea boots|echo boots|guardian boots|rune boots|mixed hide boots|granite boots|climbing boots
equipment_ultor_ring_berserker_ring_i	ultor ring|berserker ring i|berserker ring|brimstone ring|warrior ring i|warrior ring|ring of wealth|explorer s ring 4|ring of dueling
equipment_ring_of_the_gods_i_ring_of_the_gods	ring of the gods i|ring of the gods|ultor ring|berserker ring i|berserker ring
equipment_avernic_defender_dragon_defender	avernic defender|dragon defender|dragonfire shield|rune defender|adamant defender|mithril defender|black defender|steel defender|iron defender|bronze defender|toktz ket xil|book of war|rune kiteshield|adamant kiteshield
equipment_sunfire_fanatic_cuirass_proselyte_hauberk	sunfire fanatic cuirass|proselyte hauberk|initiate hauberk|vestment robe top|monk s robe top
equipment_sunfire_fanatic_chausses_proselyte_cuisse	sunfire fanatic chausses|proselyte cuisse|proselyte tasset|initiate cuisse|vestment robe legs|monk s robe
equipment_dizana_s_quiver_dizana_s_max_cape	dizana s quiver|dizana s max cape|ava s assembler|masori assembler|assembler max cape|ava s accumulator|accumulator max cape|ranging cape|ava s attractor|mixed hide cape
equipment_necklace_of_rupture_necklace_of_anguish	necklace of rupture|necklace of anguish|bonecrusher necklace|dragonbone necklace|amulet of fury|amulet of glory|amulet of power|amulet of accuracy
equipment_masori_body_f_masori_body	masori body f|masori body|hueycoatl hide body|armadyl chestplate|blessed body|karil s leathertop|eclipse moon chestplate|black d hide body|red d hide body|blue d hide body|green d hide body|snakeskin body|hardleather body|leather body
equipment_masori_chaps_f_masori_chaps	masori chaps f|masori chaps|hueycoatl hide chaps|armadyl chainskirt|blessed chaps|karil s leatherskirt|eclipse moon tassets|black d hide chaps|red d hide chaps|blue d hide chaps|green d hide chaps|snakeskin chaps|studded chaps|leather chaps
equipment_expeditious_bracelet_bracelet_of_slaughter_2	expeditious bracelet|bracelet of slaughter|zaryte vambraces|barrows gloves|blessed vambraces|hueycoatl hide vambraces|black d hide vambraces|red d hide vambraces|blue d hide vambraces|green d hide vambraces|combat bracelet|snakeskin vambraces|leather gloves
