# id	master	destination x	destination y	plane	bank x	bank y	ordered return-item families
1	Turael / Aya	2931	3536	0	2946	3367	games necklace
2	Mazchna	3510	3509	0	3512	3478	eternal slayer ring|slayer ring
3	Vannaka	3147	9913	0	3095	3494	amulet of eternal glory|amulet of glory
4	Chaeldar	2445	4431	0	2383	4459	eternal slayer ring|slayer ring
5	Duradel	2869	2982	1	2852	2955	karamja gloves 4|karamja gloves 3
6	Nieve	2432	3423	0	2446	3424	eternal slayer ring|slayer ring
7	Krystilia	3108	3516	0	3095	3494	amulet of eternal glory|amulet of glory
8	Konar	1308	3786	0	1748	3599	rada s blessing 4|rada s blessing 3
9	Spria	3085	3250	0	3093	3244	amulet of eternal glory|amulet of glory
10	Mortimer	2589	8614	0	2586	2260	eternal slayer ring|slayer ring
