# alias\tcanonical strategy key
Aberrant spectre	Aberrant spectres
Abyssal demon	Abyssal demons
Aquanite	Aquanites
Araxyte	Araxytes
Aviansie	Aviansies
Banshee	Banshees
Basilisk	Basilisks
Bat	Bats
Bear	Bears
Black demon	Black demons
Black dragon	Black dragons
Black knight	Black knights
Bloodvelds	Bloodveld
Brine rat	Brine rats
Cave bug	Cave bugs
Cave crawler	Cave crawlers
Cave horror	Cave horrors
Cave slime	Cave slimes
Chaos druid	Chaos druids
Crawling hand	Crawling hands
Crocodile	Crocodiles
Custodian stalker	Custodian stalkers
Dagannoths	Dagannoth
Dark warrior	Dark warriors
Earth warrior	Earth warriors
Ent	Ents
Fever spider	Fever spiders
Fire giant	Fire giants
Flesh crawler	Fleshcrawlers
Green dragon	Green dragons
Harpie bug swarm	Harpie bug swarms
Hellhound	Hellhounds
Hill giant	Hill giants
Hydra	Hydras
Ice giant	Ice giants
Ice warrior	Ice warriors
Infernal mage	Infernal mages
Jelly	Jellies
Jellyjellies	Jellies
Kalphite	Kalphites
Killerwatt	Killerwatts
Kurasks	Kurask
Lava dragon	Lava dragons
Lesser demon	Lesser demons
Lesser naguas	Lesser nagua
Magic axe	Magic axes
Mammoth	Mammoths
Mogre	Mogres
Molanisk	Molanisks
Monkey	Monkeys
Moss giant	Moss giants
Mutated zygomite	Mutated zygomites
Nechryaels	Nechryael
Ogre	Ogres
Pirate	Pirates
Pyrefiend	Pyrefiends
Revenant	Revenants
Rockslug	Rockslugs
Rogue	Rogues
Scorpion	Scorpions
Skeleton	Skeletons
Spider	Spiders
Suqah	Suqahs
Troll	Trolls
Vampyre	Vampyres
Werewolf	Werewolves
Wolf	Wolves
Wyrm	Wyrms
Zombie	Zombies
Minions of Scabaras	Scabarites
Scabarite	Scabarites
Scarabites	Scabarites
Metal dragon	Metal dragons
Bronze dragons	Metal dragons
Iron dragons	Metal dragons
Steel dragons	Metal dragons
Mithril dragons	Metal dragons
Adamant dragons	Metal dragons
Rune dragons	Metal dragons
