# task<TAB>location<TAB>travel<TAB>cannon
Aberrant spectres	Slayer Tower	Slayer ring to Slayer Tower	Not allowed
Abyssal demons	Slayer Tower	Slayer ring to Slayer Tower	Not allowed
Banshees	Slayer Tower	Slayer ring to Slayer Tower	Not allowed
Bloodveld	Slayer Tower	Slayer ring to Slayer Tower	Not allowed
Crawling hands	Slayer Tower	Slayer ring to Slayer Tower	Not allowed
Gargoyles	Slayer Tower	Slayer ring to Slayer Tower	Not allowed
Infernal mages	Slayer Tower	Slayer ring to Slayer Tower	Not allowed
Nechryael	Slayer Tower	Slayer ring to Slayer Tower	Not allowed
Basilisks	Fremennik Slayer Dungeon	Slayer ring to Fremennik Slayer Dungeon	Not allowed
Cave crawlers	Fremennik Slayer Dungeon	Slayer ring to Fremennik Slayer Dungeon	Not allowed
Cockatrice	Fremennik Slayer Dungeon	Slayer ring to Fremennik Slayer Dungeon	Not allowed
Jellies	Fremennik Slayer Dungeon	Slayer ring to Fremennik Slayer Dungeon	Not allowed
Kurask	Fremennik Slayer Dungeon	Slayer ring to Fremennik Slayer Dungeon	Not allowed
Pyrefiends	Fremennik Slayer Dungeon	Slayer ring to Fremennik Slayer Dungeon	Not allowed
Rockslugs	Fremennik Slayer Dungeon	Slayer ring to Fremennik Slayer Dungeon	Not allowed
Turoth	Fremennik Slayer Dungeon	Slayer ring to Fremennik Slayer Dungeon	Not allowed
Catablepon	Stronghold of Security	Skull sceptre to the Stronghold of Security	Not allowed
Fleshcrawlers	Stronghold of Security	Skull sceptre to the Stronghold of Security	Not allowed
Minotaurs	Stronghold of Security	Skull sceptre to the Stronghold of Security	Not allowed
Bloodveld	Stronghold Slayer Cave	Slayer ring to Stronghold Slayer Cave	Recommended
Fire giants	Stronghold Slayer Cave	Slayer ring to Stronghold Slayer Cave	Recommended
Hellhounds	Stronghold Slayer Cave	Slayer ring to Stronghold Slayer Cave	Recommended
Ankou	Catacombs of Kourend	Xeric's talisman to Xeric's Heart	Not allowed
Black demons	Catacombs of Kourend	Xeric's talisman to Xeric's Heart	Not allowed
Dust devils	Catacombs of Kourend	Xeric's talisman to Xeric's Heart	Not allowed
Greater demons	Catacombs of Kourend	Xeric's talisman to Xeric's Heart	Not allowed
Nechryael	Catacombs of Kourend	Xeric's talisman to Xeric's Heart	Not allowed
Skeletons	Catacombs of Kourend	Xeric's talisman to Xeric's Heart	Not allowed
Zombies	Catacombs of Kourend	Xeric's talisman to Xeric's Heart	Not allowed
Drakes	Karuulm Slayer Dungeon	Rada's blessing to Mount Karuulm	Not allowed
Hydras	Karuulm Slayer Dungeon	Rada's blessing to Mount Karuulm	Not allowed
Wyrms	Karuulm Slayer Dungeon	Rada's blessing to Mount Karuulm	Not allowed
Bats	Lumbridge area	Lumbridge teleport	Not needed
Birds	Lumbridge area	Lumbridge teleport	Not needed
Cows	Lumbridge area	Lumbridge teleport	Not needed
Crabs	Lumbridge area	Lumbridge teleport	Not needed
Goblins	Lumbridge area	Lumbridge teleport	Not needed
Rats	Lumbridge area	Lumbridge teleport	Not needed
Spiders	Lumbridge area	Lumbridge teleport	Not needed
Black dragons	Taverley Dungeon	Falador or Taverley teleport	Optional
Black demons	Taverley Dungeon	Falador or Taverley teleport	Optional
Blue dragons	Taverley Dungeon	Falador or Taverley teleport	Optional
Hellhounds	Taverley Dungeon	Falador or Taverley teleport	Optional
Chaos druids	Edgeville Dungeon	Amulet of glory to Edgeville	Optional
Earth warriors	Edgeville Dungeon	Amulet of glory to Edgeville	Optional
Hill giants	Edgeville Dungeon	Amulet of glory to Edgeville	Optional
Hobgoblins	Edgeville Dungeon	Amulet of glory to Edgeville	Optional
Fire giants	Brimhaven Dungeon	Brimhaven teleport or amulet of glory to Karamja	Optional
Greater demons	Brimhaven Dungeon	Brimhaven teleport or amulet of glory to Karamja	Optional
Metal dragons	Brimhaven Dungeon	Brimhaven teleport or amulet of glory to Karamja	Optional
Red dragons	Brimhaven Dungeon	Brimhaven teleport or amulet of glory to Karamja	Optional
Moss giants	Brimhaven Dungeon	Brimhaven teleport or amulet of glory to Karamja	Optional
Kalphites	Kalphite Slayer Cave	Desert amulet 4 directly to Kalphite Cave; fairy ring BIQ fallback	Recommended
Dagannoth	Lighthouse Dungeon	Games necklace to Barbarian Outpost	Recommended
Dark beasts	Mourner Tunnels	Slayer ring to Dark Beasts	Optional
Elves	Iorwerth Dungeon	Teleport crystal to Prifddinas	Optional
Cave horrors	Mos Le'Harmless Cave	Trouble Brewing teleport, then run east	Recommended
Cave kraken	Kraken Cove	Piscatoris or fairy-ring route	Not allowed
Waterfiends	Ancient Cavern	Games necklace to Barbarian Assault, then use the whirlpool	Not allowed
Metal dragons	Ancient Cavern	Games necklace to Barbarian Assault, then use the whirlpool	Not allowed
Skeletal wyverns	Asgarnian Ice Dungeon	Falador teleport, then run south	Not allowed
Fossil island wyverns	Wyvern Cave on Fossil Island	Digsite pendant to Fossil Island	Not allowed
Tzhaar	Karamja Volcano	Amulet of glory to Karamja	Not allowed
Vampyres	Darkmeyer	Drakan's medallion to Darkmeyer	Not allowed
Venators	Darkmeyer	Drakan's medallion to Darkmeyer	Not allowed
Otherworldly beings	Zanaris	Fairy ring to Zanaris	Not allowed
Mutated zygomites	Zanaris	Fairy ring to Zanaris	Not allowed
Suqahs	Lunar Isle	Lunar Isle teleport	Recommended
Trolls	Death Plateau	Games necklace to Burthorpe	Recommended
Aviansies	God Wars Dungeon	Ghommal's hilt or Trollheim teleport	Not allowed
Spiritual creatures	God Wars Dungeon	Ghommal's hilt or Trollheim teleport	Not allowed
Lizards	Desert quarry	Desert amulet or Pollnivneach teleport	Not allowed
Mogres	Mogre beach	Fairy ring AIQ, then run northwest	Not allowed
Cave bugs	Dorgesh-Kaan South Dungeon	Dorgesh-Kaan sphere or fairy ring AJQ	Not allowed
Cave slimes	Dorgesh-Kaan South Dungeon	Dorgesh-Kaan sphere or fairy ring AJQ	Not allowed
Molanisks	Dorgesh-Kaan South Dungeon	Dorgesh-Kaan sphere or fairy ring AJQ	Not allowed
Brine rats	Brine Rat Cavern	Rellekka teleport, then run northeast	Not allowed
Dogs	Isle of Souls	Soul Wars minigame teleport	Optional
Sourhogs	Isle of Souls	Soul Wars minigame teleport	Optional
Lizardmen	Kourend Woodland	Rada's blessing to Kourend Woodland	Optional
Ogres	Kourend Woodland	Rada's blessing to Kourend Woodland	Optional
Ghouls	Haunted Woods	Slayer ring to Slayer Tower, then run east	Not allowed
Werewolves	Haunted Woods	Slayer ring to Slayer Tower, then run east	Not allowed
Sea snakes	Waterbirth Island	Waterbirth teleport	Not allowed
Terror dogs	Piscatoris area	Piscatoris teleport	Not allowed
Jungle horrors	Feldip Hills	Feldip hills teleport	Optional
Wolves	Feldip Hills	Feldip hills teleport	Optional
Gryphons	Kebos Lowlands	Skills necklace to Farming Guild	Optional
Bandits	Bandit Camp	Pollnivneach teleport, then run west	Not allowed
Bears	Ardougne area	Ardougne teleport	Not allowed
Black Knights	Black Knights' Fortress	Combat bracelet to the Monastery	Optional
Crocodiles	Nardah desert	Desert amulet to Nardah	Not allowed
Fever spiders	Braindeath Island	Ectophial to Port Phasmatys, then take the pirate route	Not allowed
Frost dragons	Grimstone Dungeon	Fairy ring DLP after the first Grimstone visit; otherwise sail from Weiss or use a boat moored at Grimstone with a greater teleport focus	Not allowed
Ghosts	Catacombs of Kourend	Xeric's talisman to Xeric's Heart	Not allowed
Harpie bug swarms	Karamja	Amulet of glory to Karamja	Not allowed
