# SlayerPlus task/boss location waypoints v1 (sourced from OSRS Wiki map markers)
# location<TAB>x<TAB>y<TAB>plane
Abyssal Nexus	3107	4791	0
Ancient Cavern	2511	3508	0
Ancient Guthixian Temple	4097	4419	0
Asgarnian Ice Dungeon	3008	3150	0
Black Knights' Fortress	3020	3514	0
Braindeath Island	3679	3537	0
Brimhaven Dungeon	2744	3155	0
Brine Rat Cavern	2748	3736	0
Buccaneers' Laboratory	2080	3685	0
Callisto's Den	3291	3849	0
Canifis	3493	3488	0
Catacombs of Kourend	1639	3674	0
Cerberus' Lair	1238	1250	0
Chasm of Fire	1435	3668	0
Crash Site Cavern	2436	3520	0
Dark Warriors' Fortress	3029	3630	0
Darkmeyer	3597	3360	0
Death Plateau	2820	3555	0
Dorgesh-Kaan South Dungeon	2723	5314	0
Edgeville Dungeon	3097	3469	0
Forthos Dungeon	1702	3574	0
Fossil Island	3730	3807	0
Fremennik Slayer Dungeon	2797	3616	0
God Wars Dungeon	2892	5300	0
Hunter's End	3116	3677	0
Inferno	2439	5172	0
Iorwerth Dungeon	3225	6045	0
Jormungand's Prison	2463	4008	0
Kalphite Cave	3320	3122	0
Kalphite Lair	3186	9424	0
Karuulm Slayer Dungeon	1311	3807	0
Killerwatt plane	2659	5216	2
King Black Dragon Lair	3109	10265	0
Kourend Woodland	1540	3464	0
Kraken Cove	2278	3611	0
Lava Dragon Isle	3204	3828	0
Lighthouse Dungeon	2509	3641	0
Lithkren Vault	1568	5088	0
Lletya	2338	3171	0
Lumbridge Swamp Caves	3169	3172	0
Lumbridge cow field	3254	3255	0
Lunar Isle	2117	3903	0
Magic axe hut	3190	3960	0
Meiyerditch Laboratories	3615	3250	0
Morytania Spider Cave	3657	3407	0
Mos Le'Harmless Cave	3748	2974	0
Mourner Tunnels	2542	3327	0
Mudskipper Point	2999	3122	0
Nardah desert	3427	2911	0
Rogues' Castle	3286	3933	0
Ruins of Tapoyauik	1693	3232	0
Scorpia's Cave	3233	10341	0
Silk Chasm	3319	3798	0
Skotizo's Lair	2271	5661	0
Smoke Devil Dungeon	2412	3061	0
Sophanem Dungeon	3297	2783	0
Stalker Den	1325	3364	0
Stronghold Slayer Cave	2428	3425	0
Tai Bwo Wannai	2795	3065	0
Taverley Dungeon	2884	3398	0
The Great Conch	3200	2435	0
TzHaar Fight Cave	2439	5172	0
Ungael	2272	4064	0
Varrock Sewers	3299	9867	0
Vet'ion's Rest	3219	3788	0
Waterbirth Island Dungeon	2634	9667	0
Wilderness green dragon area	3260	3664	0
Woodcutting Guild Dungeon	1572	9888	0
Wyvern Cave on Fossil Island	3746	3779	0
Ynysdail Cavern	2218	3477	0
Zanaris	2430	4428	0
