0	slayer-bank-targets.tsv
1	No concrete recommended items are available yet. Open your bank once, then refresh the
2	tzkal zuk
3	The selected Shortest Path teleport could not be retained in the bank-tag layout.
4	The recommendation contains only unresolved item names. Open your bank once so
5	 SlayerPlus can select exact item IDs.
6	Opened the real SlayerPlus Current bank-tag layout with 
7	Created the SlayerPlus Current bank-tag layout with 
8	 arranged slots. Open the bank to view it.
9	[^a-z0-9]+
10	book of the dead
11	explorer s ring
12	leathertop
13	robeskirt
14	leatherskirt
15	leathertop%7Cleatherskirt%7Cplatebody%7Cplatelegs%7Cplateskirt%7C
16	chainbody%7Cchainskirt%7Cchestplate%7Chauberk%7Ctorso%7Ctunic%7C
17	saradomin brew
18	battlemage potion
19	 [1-4]$
20	Turael/Aya task 
21	Use your strongest task setup
22	Food and task supplies
23	Loadout recommendations disabled
24	SlayerPlus will not create a broad or guessed loadout.
25	 � strategy review pending
26	Waiting for Slayer task
27	Turael / Aya
28	eternal slayer ring
29	amulet of eternal glory
30	amulet of glory
31	karamja gloves 4
32	karamja gloves 3
33	rada s blessing 4
34	rada s blessing 3
35	rada s blessing
36	Mount Karuulm
37	Wyrmscraig Cavern
38	Unreviewed Slayer method rules: 
39	Slayer method has no coverage key: 
40	Slayer method has no combat style: 
41	Slayer method has no Task Method text: 
42	Task Method is too long for 
43	Slayer method has no research source: 
44	Slayer method has no review date: 
45	Conflicting inventory-fill rules: 
46	Ancient spell method has no spell name: 
47	Rune-pouch method has no selected spellbook: 
48	Arceuus utility method is not on Arceuus spellbook: 
49	Thrall method does not require Book of the dead: 
50	Arceuus utility method does not require a rune pouch: 
51	Greater Thrall method has an invalid Magic requirement: 
52	Death Charge method has an invalid Magic requirement: 
53	Ward of Arceuus method has an invalid spellbook/Magic requirement: 
54	Arceuus utility method has no rune-pouch package: 
55	Cannon method has no cannonball quantity: 
56	Restore slots have no potion family: 
57	Restore fallback is enabled without a fallback family: 
58	Food slots have no researched food family: 
59	Blank required item in Slayer rules: 
60	Required Slayer inventory item has no resolvable item family: 
61	Required Slayer utility items exceed the 4x7 inventory: 
62	High-healing food
63	moonlight antelope
64	cooked karambwan
65	Resurrect Greater Ghost + Death Charge + Ward of Arceuus
66	Resurrect Greater Ghost + Death Charge
67	Resurrect Greater Ghost + Ward of Arceuus
68	Death Charge + Ward of Arceuus
69	Resurrect Greater Ghost
70	Ward of Arceuus
71	v1,%25d,%25d,%25d,%25d,%25d,%25d,%25d,%25d,%25d,%25d
72	extended anti venom plus
73	divine bastion potion
74	divine ranging potion
75	divine super combat potion
76	divine battlemage potion
77	divine magic potion
78	extended antifire
79	antifire potion
80	extended super antifire
81	super antifire
82	Turael point boosting
83	Prefer Ranged
84	Avoid consumable teleports
85	Ancient shard + crystal shard
86	Switch to the Arceuus spellbook
87	Withdraw a rune pouch
88	Bring Book of the dead
89	No owned rune available for 
90	Thralls + Death Charge
91	Arceuus ready � 
92	Preparation required � 
93	Spellbook, book, and rune pouch are ready.
94	No owned rune package can currently cast 
95	 into the rune pouch
96	 No owned rune is available for 
97	Spellbook is ready; use the runes required by the selected spell.
98	Spellbook and rune pouch are ready.
99	Use the rune pouch for the runes required by 
100	Use the runes required by 
101	Ancient Magicks
102	Arceuus spellbook
103	Switch to Ancient Magicks
104	70 Magic is required for Ice Burst
105	Ancient Magicks ready � 
106	Rune pouch contains 
107	 into the rune pouch before leaving.
108	smoke devils
109	ancient magicks
110	seeking bronze arrow
111	seeking iron arrow
112	seeking steel arrow
113	seeking mithril arrow
114	seeking adamant arrow
115	seeking rune arrow
116	seeking amethyst arrow
117	seeking dragon arrow
118	seeking broad arrow
119	Selected from the available unlocked locations.
120	Staged Slayer route is missing a surface entrance: 
121	Staged Slayer route surface entrance is not on the overworld: 
122	Staged Slayer route surface entrance equals its interior target: 
123	wyvern cave on fossil island
124	tzhaar ket keh
125	callisto s den
126	scorpia s cave
127	vet ion s rest
128	slayer-route-profiles.tsv
129	Invalid route profile row type: 
130	Staged route access and interior are on the same coordinate layer: 
131	; continue to the reviewed boss-room checkpoint.
132	Unsupported route profile helper 
133	Missing access route for 
134	; SlayerPlus will continue only to the exact loaded 
135	TzTok-Jad
136	TzHaar Fight Cave
137	Mourner Tunnels
138	Bloodvelds
139	Meiyerditch Laboratories
140	Buccaneers' Laboratory
141	Iorwerth Dungeon
142	Stronghold Slayer Cave
143	Mos Le'Harmless Cave
144	Catacombs of Kourend
145	 transition; SlayerPlus will continue only to an exact loaded task NPC.
146	 access route; SlayerPlus will continue only to the exact loaded boss.
147	Duplicate Slayer route profile: 
148	Slayer access route has a blank name
149	Duplicate Slayer access route: 
150	catacombs of kourend
151	wilderness god wars dungeon
152	ynysdail cavern
153	ruins of tapoyauik
154	climb down stairs
155	A coordinate transition must use one coordinate space
156	Source and destination layers must differ
157	Widget ids cannot be negative
158	An exact NPC predicate needs at least one exact name
159	 requires at least one predicate
160	Invalid route area bounds
161	Route area radii cannot be negative
162	A coordinate layer needs a plane and reviewed regions
163	A coordinate layer needs reviewed regions
164	Region ids cannot be negative
165	Reviewed object ids must be positive
166	An object spec needs reviewed ids or exact names
167	An object spec needs at least one exact action
168	An object action needs a reviewed id or exact name
169	An object action needs an exact action
170	Widget component ids cannot be negative
171	Widget group ids cannot be negative
172	Exact NPC names cannot be blank
173	Cursor belongs to a different route plan
174	Cursor references an unknown route leg
175	Route target radius cannot be negative
176	A routed target needs at least one static point
177	A terminal needs explicit arrival evidence
178	Activity retention needs at least one explicit area
179	A terminal leg needs a TerminalSpec
180	Terminal completion belongs only in TerminalSpec
181	A non-terminal leg needs one completion predicate
182	A non-terminal leg needs at least one branch
183	Travel and manual legs need a guidance target
184	A manual leg needs an interaction instruction
185	A manual leg needs explicit checkpoint readiness
186	Manual completion cannot advance from a menu click alone
187	Manual completion needs confirmed resultant evidence
188	Only manual legs use readiness predicates
189	A decision leg must be immediately selectable
190	Travel and manual legs need explicit completion evidence
191	Cursor active leg id
192	Duplicate route leg id: 
193	Invalid Slayer route plan: 
194	route id is blank
195	start leg id is blank
196	start leg does not exist: 
197	activity retention is missing
198	route graph is empty
199	 has multiple default branches
200	 has branches after its default
201	route graph needs exactly one terminal; found 
202	unreachable route leg: 
203	route graph contains a cycle: 
204	route leg cannot reach terminal: 
205	useAgilityShortcuts
206	costAgilityShortcuts
207	showBankPickupInfo
208	useTeleportationItems
209	useTeleportationSpells
210	useTeleportationSpellsHome
211	useTeleportationMinigames
212	useTeleportationLevers
213	useTeleportationPortals
214	usePohFairyRing
215	usePohSpiritTree
216	useTeleportationPortalsPoh
217	usePohMountedItems
218	usePohObelisk
219	pohJewelleryBoxTier
220	useCharterShips
221	costNonConsumableTeleportationItems
222	unreachableTargetDistanceThreshold
223	morytania
224	ardougne cloak 
225	desert amulet 
226	fremennik sea boots 
227	kandarin headgear 
228	rada s blessing 
229	explorer s ring 
230	morytania legs 
231	k ril tsutsaroth
232	general graardor
233	cave kraken boss
234	slayer-boss-inventory.tsv
235	Invalid boss policy row 
236	Invalid boss inventory policy at row 
237	right-click Check to learn charges
238	It then regenerates itself to full charge!)
239	crumbles to dust
240	 spell against the Wiki-listed 
241	harmonised nightmare staff
242	mystic water staff
243	twinflame staff
244	smoke battlestaff
245	lava battlestaff
246	mystic fire staff
247	staff of the dead
248	mud battlestaff
249	mystic earth staff
250	mystic air staff
251	slayer-elemental-weaknesses.tsv
252	Duplicate elemental weakness audit: 
253	No reviewed method is available for this encounter.
254	Slayer boss catalog is unavailable
255	Null Slayer boss definition
256	Encounter definition uses a non-boss variant: 
257	Boss definition has no target name
258	Boss definition has no location: 
259	Boss definition has no display label: 
260	shellbane gryphon
261	vorkath-melee
262	vorkath-ranged
263	royal titans
264	skeletal wyverns
265	bow of faerdhinen
266	kril-ranged
267	kril-melee
268	grotesque guardians
269	the grotesque guardians
270	tumeken s shadow
271	the kalphite queen
272	kalphite-magic
273	kalphite-melee
274	maggot king
275	melee-magic-defence
276	melee-prayer
277	ranged-prayer
278	royal-titans
279	soulreaper axe
280	wilderness-magic
281	wilderness-melee
282	wilderness-ranged
283	Missing equipment list: 
284	Missing equipment profile: 
285	slayer-equipment-lists.tsv
286	slayer-equipment-profiles.tsv
287	slayer-loadout-lists.tsv
288	slayer-loadout-arrays.tsv
289	Automatic compared the reviewed viable combat styles against 
290	your real bank, inventory, and equipped items. 
291	 produced the strongest owned setup for this method. 
292	necklace of anguish
293	amulet of rancour
294	amulet of fury
295	amulet of torture
296	salve amulet ei
297	salve amulet e
298	salve amulet i
299	webweaver bow
300	chinchompa
301	amethyst javelin
302	rune javelin
303	atlatl dart
304	hunters sunlight crossbow
305	moonlight antler bolts
306	sunlight antler bolts
307	dragonstone dragon bolts e
308	dragonstone bolts e
309	ruby dragon bolts e
310	diamond dragon bolts e
311	amethyst broad bolts
312	scythe of vitur
313	toxic blowpipe
314	sanguinesti staff
315	tzkal slayer helmet
316	vampyric slayer helmet
317	tztok slayer helmet
318	Slayer helmet / black mask
319	Ranged amulet
320	No off-hand selected until a compatible weapon is found
321	Two-handed weapon � no off-hand
322	Ranged off-hand
323	Defender / shield
324	Ruby dragon bolts (e)
325	Safe araxyte ammunition
326	Atlatl darts
327	Enchanted dragonstone bolts
328	Cost-efficient owned arrows
329	scorching bow
330	3rd age bow
331	Best owned arrows for the Inferno
332	Ghommal's lucky penny
333	ghommal s lucky penny
334	ghommals lucky penny
335	rada s blessing 2
336	rada s blessing 1
337	unholy blessing
338	honourable blessing
339	(?:dharok%7Cguthan%7Ctorag%7Cverac) s .+ 0
340	vambraces
341	defender hilt
342	Dizana's quiver / Ava's assembler
343	arcane spirit shield
344	malediction ward
345	ancient wyvern shield
346	elysian spirit shield
347	toktz ket xile
348	eye of ayak
349	zaryte crossbow
350	guthixian temple teleport
351	Lit sapphire lantern
352	divine rune pouch
353	Book of the dead
354	Crush punish weapon
355	melee body switch
356	melee legs switch
357	melee defender switch
358	abyssal bludgeon
359	dual macuahuitl
360	eclipse atlatl
361	magic off hand switch
362	bracelet of slaughter
363	expeditious bracelet
364	nechryael
365	pyrefiend
366	Giantsoul amulet
367	giantsoul amulet
368	Games necklace / POH jewellery box
369	Cowbell amulet
370	cowbell amulet
371	guthixian temple
372	Guthixian temple teleport
373	morytania legs 3
374	morytania legs 4
375	burning amulet
376	wilderness obelisk
377	royal seed pod
378	Drakan's medallion
379	drakan s medallion
380	Amulet of glory
381	ring of dueling
382	Ring of dueling
383	Mort'ton teleport
384	pollnivneach teleport
385	Pollnivneach teleport
386	Zul-andra teleport
387	zul andra teleport
388	Xeric's talisman
389	xeric s talisman
390	karuulm
391	Rada's blessing
392	Dramen or lunar staff
393	teleport to house
394	Slayer helmet or black mask
395	magic-damage weapon and prayer/magic gear
396	ranged weapon, ammo, and ranged armour
397	melee weapon and strength gear
398	task-appropriate combat switches
399	runes or rune pouch
400	Magic boost and prayer potions
401	ranging/prayer potions
402	super combat/prayer potions
403	combat-switch potions and prayer supplies
404	No food: the reviewed method expects zero incoming damage 
405	while its protection method is maintained
406	extended stamina potion (regular stamina fallback)
407	multicannon pieces and cannonballs
408	Bank not scanned � open it once
409	not carried; bank unknown
410	all pieces and ammo found
411	not fully carried; bank unknown
412	Equipped setup detected
413	Desert heat protection
414	circlet of water
415	desert amulet 4
416	waterskin 4
417	waterskin 3
418	waterskin 2
419	waterskin 1
420	Stone-protection boots
421	boots of stone
422	boots of brimstone
423	amethyst broad arrows
424	slayer s staff e
425	slayer s staff
426	toxic staff of the dead
427	Leaf-bladed weapon
428	leaf bladed battleaxe
429	leaf bladed sword
430	leaf bladed spear
431	fossil island wyvern
432	Wyvern-protection shield
433	Dragonfire shield protection
434	grotesque guardian
435	kalphite lair
436	zamorak 
437	blessed body
438	blessed coif
439	blessed chaps
440	blessed vambraces
441	blessed boots
442	imbued god cape
443	imbued (?:saradomin%7Cguthix%7Czamorak)(?: max)? cape
444	(?:saradomin%7Cguthix%7Czamorak)(?: max)? cape
445	dizana s quiver
446	(?:blessed )?dizana s (?:quiver%7Cmax cape)(?: [a-z0-9]+)*
447	dizana s max cape
448	assembler max cape
449	infernal max cape
450	mythical cape
451	mythical max cape
452	ardougne cloak 4
453	ardougne max cape
454	mystic staff
455	barrows platebody
456	verac s brassard
457	barrows platelegs
458	verac s plateskirt
459	(?:dharok%7Cguthan%7Ctorag) s 
460	(?: [a-z0-9]+)*
461	(?:attack%7Cstrength%7Cdefence%7Cranging%7Cprayer%7Cmagic%7Crunecraft%7C
462	construction%7Chitpoints%7Cagility%7Cherblore%7Cthieving%7Ccrafting%7C
463	fletching%7Cslayer%7Chunter%7Cmining%7Csmithing%7Cfishing%7Ccooking%7C
464	firemaking%7Cwoodcutting%7Cfarming%7Csailing%7Cquest point%7Cmusic%7C
465	achievement diary) cape(?: t)?
466	slayer-requirements.tsv
467	Missing loadout list: 
468	Missing loadout array: 
469	Duplicate loadout list: 
470	Duplicate loadout array: 
471	thermonuclear smoke devil
472	Disturb a regular whirlpool, keep Protect from Magic active, and use the selected
473	Ice Barrage or Ice Burst
474	Tagging darts/knives
475	suqahs
476	blighted super restore
477	Blighted high-healing food
478	blighted anglerfish
479	blighted manta ray
480	blighted karambwan
481	Level-30 Wilderness escape
482	dragonstone teleport scroll
483	bloodvelds
484	fossil island wyverns
485	lithkren
486	antidote plus plus
487	antidote plus
488	superantipoison
489	bullseye lantern
490	Armadyl protection
491	armadyl pendant
492	armadyl bracers
493	armadyl d hide boots
494	armadyl d hide body
495	armadyl chaps
496	armadyl cloak
497	Zamorak protection
498	unholy book
499	zamorak bracers
500	zamorak d hide boots
501	zamorak d hide body
502	zamorak chaps
503	zamorak cloak
504	meiyerditch
505	buccaneer
506	High Level Alchemy
507	stronghold of security
508	Missing researched boss inventory policy: 
509	Water / Fire spells
510	Water Surge or Water Wave
511	Earth Surge or Earth Wave
512	Fire Surge or Fire Wave
513	Wind Surge or Wind Wave
514	abyssal demons
515	abyssal demon
516	nechryaels
517	amoxliatl
518	phantom muspah
519	the phantom muspah
520	alchemical hydra
521	the alchemical hydra
522	; keep a thrall active and use Ward of Arceuus/Death Charge when useful
523	; keep a thrall active and use Death Charge
524	; keep a thrall active
525	Keep Protect from Missiles active, stack the group with a cannon, then Ice Barrage
526	Keep Protect from Missiles active and use the selected ranged setup; cannon where
527	Keep Protect from Missiles active and use the selected setup; cannon where allowed.
528	Use Blood Barrage for sustain; protection prayers do not reduce Thermy's typeless
529	Blood Barrage or Blood Burst
530	Freeze Thermy, move beyond its 8-tile range, then use Shadow on Longrange; refreeze
531	 before it reaches you.
532	Best available ice spell
533	Ice ancient sceptre
534	ice ancient sceptre
535	ancient sceptre
536	Attack from range and step underneath between attacks when Thermy closes in;
537	 protection prayers do not help.
538	Attack once, step underneath between attacks, then step back out when ready;
539	Use the reviewed setup and follow the encounter's required protection and positioning.
540	Bind and kite K'ril with Scorching bow, Protect from Missiles, then stack the
541	 bodyguards and Blood Barrage them for healing.
542	Use demonbane melee, Protect from Melee, and step under or reposition between
543	Use the selected door-altar or kite cycle, keep the tile rhythm, and clean up the
544	Protect from Melee, step under as required, and clean up the bodyguards after the
545	slayer-boss-method-guidance.tsv
