# type<TAB>location/friendly alias<TAB>item family/canonical location<TAB>destination
A	Fossil Island Wyvern Cave	Wyvern Cave on Fossil Island	-
A	Gnome Stronghold Slayer Cave	Stronghold Slayer Cave	-
A	Nieve's Slayer Cave	Stronghold Slayer Cave	-
A	Steve's Slayer Cave	Stronghold Slayer Cave	-
A	Kalphite Cave	Kalphite Slayer Cave	-
A	Key Master	Cerberus' Lair	-
A	Lighthouse	Lighthouse Dungeon	-
A	Mount Karuulm	Karuulm Slayer Dungeon	-
A	Slayer Tower (first floor)	Slayer Tower	-
A	Slayer Tower basement	Slayer Tower	-
A	The Great Conch	Shellbane Gryphon Cave	-
A	TzHaar Fight Cave	Fight Caves	-
A	Scorpia's Cave	Deep Wilderness	-
A	Silk Chasm	Wilderness boss cave	-
A	Skeletal Tomb	Wilderness boss cave	-
A	Vet'ion's Rest	Wilderness boss cave	-
A	Web Chasm	Wilderness boss cave	-
A	Wilderness Slayer Cave	Wilderness	-
F	Catacombs of Kourend	xeric s talisman	Xeric's Heart
F	Catacombs of Kourend	kourend castle teleport	Kourend Castle
F	Catacombs of Kourend	achievement diary cape	Elise
F	Catacombs of Kourend	max cape	Teleport to house
F	Catacombs of Kourend	construct cape	Teleport to house
F	Catacombs of Kourend	rada s blessing	Kourend Woodland
F	Catacombs of Kourend	skills necklace	Farming Guild
F	Catacombs of Kourend	games necklace	Wintertodt Camp
F	Mourner Tunnels	eternal slayer ring	ME2 Caves
F	Mourner Tunnels	slayer ring	ME2 Caves
F	Iorwerth Dungeon	eternal teleport crystal	Prifddinas
F	Iorwerth Dungeon	teleport crystal	Prifddinas
F	Iorwerth Dungeon	prifddinas tablet	Prifddinas
F	Taverley Dungeon	taverley teleport	Taverley
F	Taverley Dungeon	falador teleport	Falador
F	Taverley Dungeon	explorer s ring 4	Cabbage patch
F	Taverley Dungeon	explorer s ring 3	Cabbage patch
F	Taverley Dungeon	explorer s ring 2	Cabbage patch
F	Taverley Dungeon	skills necklace	Crafting Guild
F	Taverley Dungeon	games necklace	Burthorpe
F	Ancient Cavern	games necklace	Barbarian Assault
F	Ancient Cavern	barbarian teleport	Barbarian Outpost
F	Asgarnian Ice Dungeon	explorer s ring 4	Cabbage patch
F	Asgarnian Ice Dungeon	explorer s ring 3	Cabbage patch
F	Asgarnian Ice Dungeon	explorer s ring 2	Cabbage patch
F	Asgarnian Ice Dungeon	falador teleport	Falador
F	Asgarnian Ice Dungeon	skills necklace	Crafting Guild
F	Brimhaven Dungeon	brimhaven teleport	Brimhaven
F	Brimhaven Dungeon	achievement diary cape	Pirate Jackie the Fruit
F	Brimhaven Dungeon	tai bwo wannai teleport	Tai Bwo Wannai
F	Brimhaven Dungeon	amulet of glory	Karamja
F	Brine Rat Cavern	fremennik sea boots 4	Rellekka
F	Brine Rat Cavern	enchanted lyre i	Rellekka
F	Brine Rat Cavern	enchanted lyre	Rellekka
F	Brine Rat Cavern	rellekka teleport	Rellekka
F	Chasm of Fire	xeric s talisman	Xeric's Glade
F	Chasm of Fire	skills necklace	Woodcutting Guild
F	Darkmeyer	drakan s medallion	Darkmeyer
F	Death Plateau	games necklace	Burthorpe
F	Death Plateau	combat bracelet	Warriors' Guild
F	Fremennik Slayer Dungeon	eternal slayer ring	Fremennik Slayer Dungeon
F	Fremennik Slayer Dungeon	slayer ring	Fremennik Slayer Dungeon
F	God Wars Dungeon	ghommal s hilt 6	God Wars Dungeon
F	God Wars Dungeon	ghommal s avernic defender 6	God Wars Dungeon
F	God Wars Dungeon	ghommal s hilt 5	God Wars Dungeon
F	God Wars Dungeon	ghommal s avernic defender 5	God Wars Dungeon
F	God Wars Dungeon	ghommal s hilt 4	God Wars Dungeon
F	God Wars Dungeon	ghommal s hilt 3	God Wars Dungeon
F	God Wars Dungeon	trollheim teleport	Trollheim
F	Jormungand's Prison	fremennik sea boots 4	Rellekka
F	Jormungand's Prison	enchanted lyre i	Rellekka
F	Jormungand's Prison	enchanted lyre	Rellekka
F	Jormungand's Prison	rellekka teleport	Rellekka
F	Kalphite Slayer Cave	desert amulet 4	Kalphite Cave
F	Kalphite Slayer Cave	pharaoh s sceptre	Jaldraocht
F	Kalphite Slayer Cave	ring of dueling	Emir's Arena
